,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Cuando Te Besé,Becky G,1878948,ar,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
1,2,Vaina Loca,Ozuna,1464035,ar,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,Toda - Remix,Alex Rose,1312504,ar,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
3,4,Sin Pijama,Becky G,1235177,ar,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
4,5,No Es Justo,J Balvin,1158046,ar,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
5,6,Ya No Tiene Novio,Sebastian Yatra,1087484,ar,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
6,7,Te Boté - Remix,Nio Garcia,1081472,ar,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
7,8,Chica Paranormal,Paulo Londra,1036965,ar,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
8,9,BEBE,6ix9ine,981966,ar,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
9,10,Mala Mía,Maluma,972709,ar,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
10,11,Asesina,Brytiago,889195,ar,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
11,12,Clandestino,Shakira,859858,ar,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
12,13,Me Vas a Extrañar - En Vivo,Damas Gratis,859220,ar,3CACzG9I3AoKUKA3ODE5zW,2018-09-21,2018-09-28,0.635,0.809,-4.596
13,14,No Te Creas Tan Importante - En Vivo,Damas Gratis,853912,ar,3trowLiYwwOoiwapLISNyk,2018-09-21,2018-09-28,0.669,0.758,-5.273
14,15,No Me Acuerdo,Thalía,783961,ar,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
15,16,Quiere Beber,Anuel AA,747774,ar,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
16,17,Mi Cama - Remix,KAROL G,734557,ar,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
17,18,No Me Llores,Duki,733687,ar,4DNzemGNnckcJSr8DVk8Uj,2018-09-21,2018-09-28,0.158,0.676,-8.846
18,19,Amigos Con Derechos,Reik,690562,ar,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
19,20,Me Niego (feat. Ozuna & Wisin),Reik,671172,ar,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
20,21,Unica,Ozuna,644603,ar,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
21,22,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,619851,ar,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
22,23,Árabe,Papichamp,611586,ar,58qmrrvUkA09szrox83VDp,2018-09-21,2018-09-28,0.637,0.674,-5.666
23,24,Madura (feat. Bad Bunny),Cosculluela,601718,ar,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
24,25,Duro y Suave,Leslie Grace,589216,ar,31M5m42C3EGlbydf9XB5to,2018-09-21,2018-09-28,0.618,0.721,-4.483
25,26,El Clavo (feat. Maluma) - Remix,Prince Royce,569858,ar,6bI00brFpeprqCDqKouEJS,2018-09-21,2018-09-28,0.73,0.797,-2.726
26,27,Si Te Vas,Lit Killah,565955,ar,5VsHkOtg0Llpa6mTGZhp5e,2018-09-21,2018-09-28,0.432,0.685,-3.181
27,28,La player (Bandolera),Zion & Lennox,565726,ar,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
28,29,Quiero Volver,TINI,561369,ar,1jcAZRfufvi67KWnwRmizE,2018-09-21,2018-09-28,0.761,0.826,-4.02
29,30,Te Amo,Piso 21,533005,ar,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
30,31,Dimelo,Paulo Londra,517644,ar,3uwehoqKSQLa5lFFvIX6M3,2018-09-21,2018-09-28,0.373,0.71,-5.541
31,32,Me Dijeron,Ozuna,510221,ar,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
32,33,X - Remix,Nicky Jam,501894,ar,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
33,34,Otra Botella,Neo Pistea,490100,ar,2WH26XlMjUamdUwG56ZqWf,2018-09-21,2018-09-28,0.474,0.485,-7.81
34,35,Sin Querer Queriendo (feat. Mau y Ricky),Lali,480834,ar,5rUNrHC5b0oYanaw370Ncz,2018-09-21,2018-09-28,0.618,0.862,-4.893
35,36,Hipócrita,Anuel AA,473552,ar,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
36,37,Por Perro,Sebastian Yatra,457592,ar,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
37,38,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,454975,ar,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
38,39,Estamos Bien,Bad Bunny,447658,ar,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
39,40,Ahora no,FMK,427579,ar,1fxwD70zSHgakPFIAC0pz7,2018-09-21,2018-09-28,0.436,0.484,-9.76
40,41,Culpables,KAROL G,421925,ar,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
41,42,Perdóname,FMK,410106,ar,4Uy3Q3h0VbWWyyiB1MmRoP,2018-09-21,2018-09-28,0.185,0.411,-8.265
42,43,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,407707,ar,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
43,44,Dura - Remix,Daddy Yankee,407326,ar,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
44,45,In My Feelings,Drake,406454,ar,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
45,46,Bufón,Lit Killah,395036,ar,6ovp1nCwIAOSMotiCF7pjk,2018-09-21,2018-09-28,0.526,0.637,-5.534
46,47,Celoso,Lele Pons,393648,ar,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
47,48,I Like It,Cardi B,387277,ar,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
48,49,Hijo De La Noche,Duki,377496,ar,2p1AlnJxp15v7ohNuLwjbl,2018-09-21,2018-09-28,0.313,0.82,-4.126
49,50,Ponle,Rvssian,359553,ar,28O1p0bQXH2F6Qn8jBZZR4,2018-09-21,2018-09-28,0.589,0.772,-4.736
50,51,Ambiente,J Balvin,339498,ar,6VrBWh90BiwWmwKtvwWFcq,2018-09-21,2018-09-28,0.79,0.731,-6.245
51,52,Loca Remix,Khea,327529,ar,2CRbiMK0W14l71SpDKqKZM,2018-09-21,2018-09-28,0.537,0.751,-3.661
52,53,Como Le Digo,Khea,326796,ar,2fxJDRmUMatqyZ6ZOQi7RD,2018-09-21,2018-09-28,0.19,0.385,-8.444
53,54,Girls Like You (feat. Cardi B),Maroon 5,326426,ar,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
54,55,X,Nicky Jam,325942,ar,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
55,56,Ferrari,Duki,303171,ar,1YIqazOPARc41ThBqS7a8F,2018-09-21,2018-09-28,0.543,0.756,-5.696
56,57,Criminal,Natti Natasha,298829,ar,6Za3190Sbw39BBC77WSS1C,2018-09-21,2018-09-28,0.839,0.813,-3.023
57,58,Bella - Remix,Wolfine,298627,ar,0SaYeGhSXN0dDWstyNTQ56,2018-09-21,2018-09-28,0.87,0.476,-6.621
58,59,I Love It (& Lil Pump),Kanye West,286855,ar,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
59,60,Zum Zum,Daddy Yankee,286392,ar,7lEhOiFtcLXY4P7cuTKuQ8,2018-09-21,2018-09-28,0.529,0.832,-2.492
60,61,Electricity (with Dua Lipa),Silk City,285553,ar,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
61,62,Culpables,Manuel Turizo,276237,ar,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
62,63,Mi Cama,KAROL G,275316,ar,7sFYVcKSb24qg0dAkqLEFj,2018-09-21,2018-09-28,0.68,0.815,-4.773
63,64,Calypso,Luis Fonsi,275230,ar,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
64,65,El Préstamo,Maluma,269763,ar,2XVilv6s9GETnw9PG4T9Mz,2018-09-21,2018-09-28,0.717,0.74,-3.647
65,66,No Hay Nadie Más,Sebastian Yatra,265908,ar,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
66,67,Consejo de Amor,TINI,265280,ar,1zHQ5gjJoNxT4RYFmGEWuo,2018-09-21,2018-09-28,0.644,0.718,-6.709
67,68,Bye,Ecko,261464,ar,0TYtHWzASro5sMrV1UvpUC,2018-09-21,2018-09-28,0.513,0.701,-5.317
68,69,She Don't Give a Fo,Duki,257094,ar,6S3yaMAF7jB4GfjXdYLsD0,2018-09-21,2018-09-28,0.342,0.556,-4.49
69,70,Piso,Bhavi,255133,ar,3Zkla0QqHsCTY1pWhY63GS,2018-09-21,2018-09-28,0.679,0.878,-4.033
70,71,Vampiros,Duki,252382,ar,3lELHR2LNlrZ23V1ZH3uv8,2018-09-21,2018-09-28,0.645,0.425,-12.005
71,72,PURPURA,WOS,246538,ar,0RHazYjaRGLIYPvn6mtRWY,2018-09-21,2018-09-28,0.348,0.803,-2.941
72,73,Me Usaste,Noriel,245164,ar,3F4uOZlN4kzMmG88TT2HjD,2018-09-21,2018-09-28,0.599,0.536,-5.855
73,74,S.A.D,Khea,238570,ar,46D8MyZ8htLBj7BjblMyeX,2018-09-21,2018-09-28,0.772,0.306,-13.58
74,75,One Kiss (with Dua Lipa),Calvin Harris,236754,ar,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
75,76,Intento,Ulises Bueno,235657,ar,66ggNhGinVQLTYJODy6P74,2018-09-21,2018-09-28,0.626,0.844,-3.481
76,77,Vete,Khea,235183,ar,2rZB6indPhp8C5AZK1PpkS,2018-09-21,2018-09-28,0.25,0.563,-3.414
77,78,Falling Down - Bonus Track,Lil Peep,233932,ar,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
78,79,Déjala que vuelva (feat. Manuel Turizo),Piso 21,233819,ar,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
79,80,¿Cual es tu plan?,Bad Bunny,228811,ar,4HRDBtek0ayfLQ6uc7rjO9,2018-09-21,2018-09-28,0.872,0.601,-5.418
80,81,Me Rehúso,Danny Ocean,223649,ar,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
81,82,Puedo Ser,Cazzu,220791,ar,5olxoiU59KJZTbqyzki5TW,2018-09-21,2018-09-28,0.716,0.63,-6.959
82,83,Síguelo Bailando,Ozuna,218941,ar,5Y9fnynLlIvqtM710MHzfz,2018-09-21,2018-09-28,0.626,0.664,-7.11
83,84,No Quiero Más - Remix,Luck Ra;Seven Kayne,215861,ar,4gdZVkGqbi4Xxq2uuUpfjo,2018-09-21,2018-09-28,0.427,0.618,-4.499
84,85,Casualidad,Nacho,215780,ar,08rwXPBZ2DHOwnL7xaz044,2018-09-21,2018-09-28,0.909,0.855,-5.011
85,86,Si Te Sentis Sola,Duki,215254,ar,2Z4VK9otSeq3MxWcEgptUa,2018-09-21,2018-09-28,0.388,0.657,-5.147
86,87,Amor (Ft. Mon Laferte) - Mtv Unplugged,Los Auténticos Decadentes,213813,ar,2fscHtYDKLd7xYRCTe3prP,2018-09-21,2018-09-28,0.688,0.818,-5.317
87,88,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,210137,ar,58smOywZbVu8AjWutppiQA,2018-09-21,2018-09-28,0.751,0.786,-4.418
88,89,Nunca quise,Intoxicados,208269,ar,0ZAJ660VP57lLK4U7NlGOy,2018-09-21,2018-09-28,0.874,0.787,-6.3
89,90,Se Preparó,Ozuna,206228,ar,1m69ELEgE6k5ZWsap40ozt,2018-09-21,2018-09-28,0.693,0.821,-4.233
90,91,Shape of You,Ed Sheeran,204908,ar,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
91,92,Hola,Zion & Lennox,204184,ar,2dYJKHEqAUTCk2U9zntaS1,2018-09-21,2018-09-28,0.856,0.789,-5.048
92,93,Quavo #Mododiablo,Duki,203901,ar,7HLHYxRkEAWr90BGYxk15F,2018-09-21,2018-09-28,0.6,0.765,-4.612
93,94,Mi Cubana Remix,Eladio Carrion,203651,ar,0Th8lfTKVv32mZgXtGOxcd,2018-09-21,2018-09-28,0.569,0.895,-1.233
94,95,Condenado Para el Millon,Paulo Londra,200716,ar,5UjhWsB5rddZEPlNUcGDLV,2018-09-21,2018-09-28,0.184,0.724,-5.276
95,96,Dura,Daddy Yankee,193900,ar,6KuqAtoeVzxAYOaMveLNpH,2018-09-21,2018-09-28,0.828,0.848,-3.456
96,97,Brindemos,Anuel AA,192929,ar,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
97,98,Ahora Te Puedes Marchar,Luis Miguel,189966,ar,1uKjQoh8JZj9ryuYRhpd7E,2018-09-21,2018-09-28,0.909,0.877,-3.683
98,99,Corazón (feat. Nego do Borel),Maluma,188961,ar,5cepAtqnEQ6yVG6088zMMu,2018-09-21,2018-09-28,0.748,0.738,-6.073
99,100,Échame La Culpa,Luis Fonsi,187575,ar,2hl6q70unbviGo3g1R7uFx,2018-09-21,2018-09-28,0.649,0.889,-3.655
100,101,Medicina,Anitta,187311,ar,4R5xvs5X0phd0EYWyGigju,2018-09-21,2018-09-28,0.653,0.784,-3.545
101,102,Solita,Ozuna,186487,ar,7rwX0O3RlxqqIjQM8evm5E,2018-09-21,2018-09-28,0.325,0.633,-6.016
102,103,Rompe,Papichamp,185287,ar,6ewMpZ67VVndT6RiQfhjPp,2018-09-21,2018-09-28,0.764,0.749,-7.564
103,104,Mi Mala - Remix,Mau y Ricky,185146,ar,6kOHug1s9Nd5gsHrX8irs2,2018-09-21,2018-09-28,0.776,0.652,-4.426
104,105,God is a woman,Ariana Grande,184992,ar,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
105,106,Crimen,Gustavo Cerati,184052,ar,3oqWr0jDWNXxWufNogGREp,2018-09-21,2018-09-28,0.288,0.502,-8.406
106,107,Bella,Wolfine,183692,ar,3xcCix7Jv1Rp90YVmgo35D,2018-09-21,2018-09-28,0.844,0.493,-6.688
107,108,Time,Tobi,183443,ar,4LgCynrxzFl5JRlb4836WH,2018-09-21,2018-09-28,0.267,0.791,-4.522
108,109,Un Poquito,Diego Torres,181593,ar,5pH8g37XIkQej0AnlfQgNS,2018-09-21,2018-09-28,0.876,0.854,-4.695
109,110,Creo,Callejeros,180133,ar,5Bi9Cq5oVFy1OtUgecbegZ,2018-09-21,2018-09-28,0.56,0.912,-2.898
110,111,Promises (with Sam Smith),Calvin Harris,179555,ar,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
111,112,New Rules,Dua Lipa,179183,ar,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
112,113,Ella Fuma,Plan B,178721,ar,4IYxcqhcFFJ025qfWJeulF,2018-09-21,2018-09-28,0.836,0.729,-2.897
113,114,Trátame Suavemente - Remasterizado 2007,Soda Stereo,178617,ar,65DBZofI0b79kfHTcWWDuU,2018-09-21,2018-09-28,0.532,0.801,-3.366
114,115,Dembow,Danny Ocean,177976,ar,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
115,116,Mayores,Becky G,177824,ar,7JNh1cfm0eXjqFVOzKLyau,2018-09-21,2018-09-28,0.871,0.855,-3.976
116,117,Downtown,Anitta,176248,ar,3Ga6eKrUFf12ouh9Yw3v2D,2018-09-21,2018-09-28,0.619,0.679,-4.985
117,118,Spaghetti del Rock,Divididos,175830,ar,6rg1MBZqggsQ5olFGTw0rr,2018-09-21,2018-09-28,0.656,0.389,-11.609
118,119,Perfect,Ed Sheeran,173328,ar,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
119,120,Marinero,Maluma,172874,ar,6x5LBP3nYXVdIDoomChGr3,2018-09-21,2018-09-28,0.843,0.491,-5.156
120,121,Besame,Bhavi,172170,ar,656wIOnR8PkaTASJAjd1pH,2018-09-21,2018-09-28,0.336,0.72,-4.284
121,122,La Incondicional,Luis Miguel,170772,ar,6F9yAYUaNbUhdlQyt5uZ3b,2018-09-21,2018-09-28,0.283,0.727,-4.352
122,123,Alcohol (feat. Tobi),Panter Music,170615,ar,7bctBhmp3lMH2GvEM5Wqce,2018-09-21,2018-09-28,0.314,0.675,-6.994
123,124,IDGAF,Dua Lipa,168343,ar,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
124,125,Fvck Luv,Duki,167748,ar,04EMkFMFkTaxWciZvxjkVT,2018-09-21,2018-09-28,0.453,0.74,-6.851
125,126,Robarte un Beso,Carlos Vives,167540,ar,0JcNysfWVWaMS7R6vzGB2k,2018-09-21,2018-09-28,0.64,0.858,-4.946
126,127,Triste,Bryant Myers,167183,ar,5MNS5FF4LrTX0jIaI0gory,2018-09-21,2018-09-28,0.263,0.724,-5.379
127,128,Cuando Nadie Ve,Morat,166698,ar,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
128,129,Believer,Imagine Dragons,165432,ar,0pqnGHJpmpxLKifKRmU6WP,2018-09-21,2018-09-28,0.666,0.78,-4.374
129,130,A Partir De Hoy,David Bisbal,164652,ar,7ojH6H4wE6XJNgzU4uvNc8,2018-09-21,2018-09-28,0.504,0.857,-5.044
130,131,Personalmente,Las Pelotas,163730,ar,7q7XFO9av9VpNJSXKJwJxD,2018-09-21,2018-09-28,0.769,0.711,-7.186
131,132,Ibiza,Ozuna,163443,ar,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
132,133,La Cintura (feat. Flo Rida & TINI) - Remix,Alvaro Soler,163397,ar,56gH0zGe3SP9SGNoQ2pWwn,2018-09-21,2018-09-28,0.722,0.84,-4.295
133,134,SAD!,XXXTENTACION,163256,ar,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
134,135,Felices los 4,Maluma,159752,ar,1RouRzlg8OKFeqc6LvdxmB,2018-09-21,2018-09-28,0.716,0.756,-5.861
135,136,Chapiadora,Cazzu,154224,ar,3Fdth9HQGCGuGXptoftjfA,2018-09-21,2018-09-28,0.736,0.878,-1.064
136,137,Peligrosa,J Balvin,154201,ar,3Nkqp3NSGWMXVVO08zGpN7,2018-09-21,2018-09-28,0.68,0.759,-4.393
137,138,Sensualidad,Bad Bunny,153982,ar,5hcisvFMidkMJlElTO9Qmw,2018-09-21,2018-09-28,0.676,0.681,-6.268
138,139,M.I.A,Khea;Omar Varela,152415,ar,5eBAi26nr0KPcO3ko2hvLN,2018-09-21,2018-09-28,0.569,0.722,-2.463
139,140,Besos En Guerra,Morat,149919,ar,5KgdtjmglXPjJNKvMvSjgo,2018-09-21,2018-09-28,0.78,0.972,-3.568
140,141,no tears left to cry,Ariana Grande,149866,ar,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
141,142,Oncemil,Abel Pintos,149779,ar,3y5ahYM9zwyOCt3mieZ0PZ,2018-09-21,2018-09-28,0.369,0.698,-3.313
142,143,Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,146732,ar,2qBirMakpTdz9ymxrZEyzg,2018-09-21,2018-09-28,0.736,0.368,-15.449
143,144,Princesa,TINI,146662,ar,6JpjnU0v7J3r7iHcWxLo6P,2018-09-21,2018-09-28,0.478,0.813,-4.885
144,145,Hace Tiempo,Eladio Carrion,146267,ar,2hZmq3hMh3KAAwqJbUkQHo,2018-09-21,2018-09-28,0.24,0.576,-7.147
145,146,Epa Wei,Danny Ocean,144308,ar,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
146,147,Si Te Lastime,Seven Kayne,144201,ar,7k09lnI8FXcEREvDps6oPJ,2018-09-21,2018-09-28,0.213,0.505,-5.011
147,148,"Loca (feat. Duki, Cazzu)",Khea,143734,ar,0vnrhysrKKRdNYFKLAGzRc,2018-09-21,2018-09-28,0.462,0.753,-3.011
148,149,Rockstar,Duki,143370,ar,5DQGkXXLiOhf5cKqIyWh5L,2018-09-21,2018-09-28,0.33,0.855,0.642
149,150,Apaga el celular,Lit Killah,141979,ar,7BhCvFVZwe04hLpNutqTdg,2018-09-21,2018-09-28,0.279,0.609,-7.061
150,151,Te Robo,Zato DJ,141960,ar,1Mytkdy3EAWY0TmAiPaFmr,2018-09-21,2018-09-28,0.658,0.702,-2.591
151,152,Happier,Marshmello,141654,ar,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
152,153,Unica - Remix,Ozuna,141445,ar,5Sv1rKKMX1yl9kfJ2HTluk,2018-09-21,2018-09-28,0.682,0.868,-3.19
153,154,Pasos Al Costado,Turf,140071,ar,7upAH0ezzsThyvr33YKn4u,2018-09-21,2018-09-28,0.795,0.901,-3.442
154,155,Esperándote,Manuel Turizo,139973,ar,1nfyE13arjOuO54HH0zmqj,2018-09-21,2018-09-28,0.313,0.648,-7.123
155,156,Luna Llena,Paulo Londra,139904,ar,1kK7yrknQvA2wEU5zyG41m,2018-09-21,2018-09-28,0.441,0.731,-5.472
156,157,Quiero Repetir,Ozuna,139884,ar,0MIcPSq9n2z5H8TAfEstri,2018-09-21,2018-09-28,0.482,0.753,-4.748
157,158,Escápate Conmigo (feat. Ozuna),Wisin,139667,ar,1KSqYYJFyfTecXFk9M0prc,2018-09-21,2018-09-28,0.787,0.859,-3.166
158,159,Campanas en la Noche,Los Tipitos,139484,ar,0C9V5jMElp7laZZdsCHufD,2018-09-21,2018-09-28,0.742,0.593,-5.181
159,160,Suena El Dembow,Joey Montana,139335,ar,0woHVOh3KXLSDv8VU9XwZ4,2018-09-21,2018-09-28,0.728,0.856,-4.446
160,161,Solo (feat. Demi Lovato),Clean Bandit,138718,ar,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
161,162,Bipolar,Chris Jeday,138488,ar,4WzsycqZkpkS48H9AAAGux,2018-09-21,2018-09-28,0.424,0.693,-5.72
162,163,The Scientist,Coldplay,138480,ar,75JFxkI2RXiU7L9VXzMkle,2018-09-21,2018-09-28,0.212,0.442,-7.224
163,164,Una Lady Como Tú,Manuel Turizo,136978,ar,7MHN1aCFtLXjownGhvEQlF,2018-09-21,2018-09-28,0.86,0.477,-7.348
164,165,Caliente (feat. J Balvin),De La Ghetto,136916,ar,1d1mZ7F4VI0hkkie2jE4yq,2018-09-21,2018-09-28,0.73,0.847,-4.395
165,166,Amorfoda,Bad Bunny,136317,ar,3ITvHA9zhZZdBJsOsAUegF,2018-09-21,2018-09-28,0.198,0.461,-7.527
166,167,Se Vuelve Loca,CNCO,135985,ar,2PYmyMAMlhX1eVevLo5A6n,2018-09-21,2018-09-28,0.905,0.78,-4.307
167,168,Una Nueva Noche Fría,Callejeros,135669,ar,39KmBOGkD1ztCbVeo2uspA,2018-09-21,2018-09-28,0.58,0.914,-4.652
168,169,In My Mind,Dynoro,133983,ar,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
169,170,Havana (feat. Young Thug),Camila Cabello,133839,ar,1rfofaqEpACxVEHIZBJe6W,2018-09-21,2018-09-28,0.394,0.523,-4.333
170,171,Mil Horas,Los Abuelos De La Nada,133223,ar,2cnzoggZA19R6DiWGhKU42,2018-09-21,2018-09-28,0.576,0.366,-13.707
171,172,PPP,Kevin Roldan,132406,ar,1DcxnVNFAyVl2sDQ646pXS,2018-09-21,2018-09-28,0.712,0.65,-6.839
172,173,No Brainer,DJ Khaled,131214,ar,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
173,174,A las Nueve,No Te Va Gustar,130887,ar,0uuEqOyKlABOB7hzWKcEeG,2018-09-21,2018-09-28,0.825,0.803,-5.688
174,175,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,128955,ar,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
175,176,Natural,Imagine Dragons,128844,ar,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
176,177,FRIENDS,Marshmello,128655,ar,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
177,178,El Farsante - Remix,Ozuna,128492,ar,7uYgVgRSgqluZclLS7wpp4,2018-09-21,2018-09-28,0.386,0.742,-2.875
178,179,Despacito (Featuring Daddy Yankee),Luis Fonsi,127730,ar,7CUYHcu0RnbOnMz4RuN07w,2018-09-21,2018-09-28,0.863,0.802,-4.79
179,180,Que Va,Alex Sensation,127084,ar,6J1R5wtPXiHiwiPstOSI56,2018-09-21,2018-09-28,0.831,0.827,-3.332
180,181,Realidad,Khea,127069,ar,7jnkjpQKNKxEPiG6zfvmXW,2018-09-21,2018-09-28,0.46,0.519,-3.843
181,182,Me Tiene Mal,Paulo Londra,127061,ar,5BHiSQqlKWKoSmASzJTrVg,2018-09-21,2018-09-28,0.571,0.601,-6.53
182,183,Mi Gente,J Balvin,126719,ar,7COfe3P7KgfwDwIRB8LIDw,2018-09-21,2018-09-28,0.288,0.704,-4.838
183,184,Casi un G,Ysy A,126007,ar,0CEuRbdXmopiGOI1ZALzLz,2018-09-21,2018-09-28,0.463,0.725,-5.008
184,185,TELÉFONO,Aitana,125629,ar,5h8VHxOBK1VWWj46T8fSly,2018-09-21,2018-09-28,0.564,0.829,-4.627
185,186,Original,Arcangel,125367,ar,1LBlcCtOrKITXpEp1hnNpj,2018-09-21,2018-09-28,0.292,0.487,-4.939
186,187,Thinking out Loud,Ed Sheeran,125136,ar,1Slwb6dOYkBlWal1PGtnNg,2018-09-21,2018-09-28,0.591,0.445,-6.061
