Position,Track Name,Artist,Streams,date,region,id
1,90MIN,Salmo,4423198,2018-09-21--2018-09-28,it,1YzlPeHWPU0JeM0u4ya5zj
2,Trap Phone (feat. Capo Plaza),Gue Pequeno,1911495,2018-09-21--2018-09-28,it,50Vy6DvEWNLDaQV5j9TdDS
3,Borsello (feat. Sfera Ebbasta & DrefGold),Gue Pequeno,1756360,2018-09-21--2018-09-28,it,6gAySqc7QK27KEASxmc7Ag
4,D'estate non vale (feat. Ana Mena),Fred De Palma,1475014,2018-09-21--2018-09-28,it,3dCEtkAfWhk15bLAWZAKLy
5,Pablo,Rvssian,1376414,2018-09-21--2018-09-28,it,0l8vhDaEztxLCQsFOAX64d
6,2% (feat. Frah Quintale),Gue Pequeno,1307451,2018-09-21--2018-09-28,it,1GZPzAyqLxOu9ANPIKMlCs
7,Balla,Zoda,1295333,2018-09-21--2018-09-28,it,1ex3YwDpPLF2JeA8ZgPBto
8,Nera,Irama,1232891,2018-09-21--2018-09-28,it,6Lc0La3OwOmAouQjbID4uX
9,Modalità Aereo (feat. Luchè & Marracash),Gue Pequeno,1200697,2018-09-21--2018-09-28,it,6rvSAESqueLmDe00pudWtr
10,Amore e Capoeira,Takagi & Ketra,1148029,2018-09-21--2018-09-28,it,5Vwqy3CS2aCB6jcgm1qWfk
11,Rollercoaster,Emis Killa,1147786,2018-09-21--2018-09-28,it,2Qe5XpRwGHFmMkZim0gRye
12,Claro (feat. Tony Effe & Prynce),Gue Pequeno,1147480,2018-09-21--2018-09-28,it,56f4pUF10wZMmGtjtw569u
13,Felicità puttana,Thegiornalisti,1093616,2018-09-21--2018-09-28,it,695AOnYHYnvHIMaTNKjkA5
14,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,1084568,2018-09-21--2018-09-28,it,093RgZ7RXHZwIrxZhZYX4Q
15,Girls Like You (feat. Cardi B),Maroon 5,1066647,2018-09-21--2018-09-28,it,7fa9MBXhVfQ8P8Df9OEbD8
16,Davide (feat. Coez),Gemitaiz,1040290,2018-09-21--2018-09-28,it,1Lq5ApqhIWUXzlryFX2K6J
17,Da zero a cento,Baby K,1032730,2018-09-21--2018-09-28,it,4cQR1R25cpABjPMzpybNSQ
18,I Love It (& Lil Pump),Kanye West,996827,2018-09-21--2018-09-28,it,4S8d14HvHb70ImctNgVzQQ
19,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,978981,2018-09-21--2018-09-28,it,3fw3W15QK6a9UxJGgndtYu
20,Guarda Come Flexo 2,MamboLosco,971807,2018-09-21--2018-09-28,it,6PX2GtCt8YJzOQ4ulJM41k
21,In My Mind,Dynoro,959997,2018-09-21--2018-09-28,it,0E9ZjEAyAwOXZ7wJC0PD33
22,Falling Down - Bonus Track,Lil Peep,921327,2018-09-21--2018-09-28,it,0Dn40gxVCMo5TkgS8Ik18Q
23,Te Boté - Remix,Nio Garcia,918888,2018-09-21--2018-09-28,it,3V8UKqhEK5zBkBb6d6ub8i
24,Mala,Elettra Lamborghini,913892,2018-09-21--2018-09-28,it,2N85HU7TqO8lAmHA7AkNdP
25,Moscow Mule,Benji & Fede,866032,2018-09-21--2018-09-28,it,1Lfjom9CoL5hIyvjYey9zs
26,Nero Bali,Elodie,848342,2018-09-21--2018-09-28,it,2hygc41DOo6dGocHEk6Jx1
27,Solo (feat. Demi Lovato),Clean Bandit,818003,2018-09-21--2018-09-28,it,6kPJZM97LwdG9QIsT7khp6
28,"Bella Giornata (prod. Dogslife, Mago del blocco)",OG Eastbull,812126,2018-09-21--2018-09-28,it,76xea5TfeyVu8c4dGWpFD2
29,Poesia senza veli,Ultimo,810557,2018-09-21--2018-09-28,it,3f2b204xj4jZdoHjo9wj0W
30,Bastardi Senza Gloria (feat. Noyz Narcos),Gue Pequeno,810178,2018-09-21--2018-09-28,it,2ssOc4e6FAIneETAB2fQZK
31,In My Feelings,Drake,803495,2018-09-21--2018-09-28,it,2G7V7zsVDxg1yRsu7Ew9RJ
32,Italiana,J-AX,786028,2018-09-21--2018-09-28,it,0ptaq4BSl6jrXfGyLzJjYE
33,Bling Bling (Oro),Gue Pequeno,771261,2018-09-21--2018-09-28,it,0UyV3ehXT0z3wzkuW7fSxo
34,New York,Thegiornalisti,764410,2018-09-21--2018-09-28,it,1nhEQjgj0NrtAoDuFEhMEL
35,Mwaka Moon - Remix,Kalash,745021,2018-09-21--2018-09-28,it,1OGORI9Hx45AEYqxkndMhN
36,Faccio Quello Che Voglio,Fabio Rovazzi,739944,2018-09-21--2018-09-28,it,3ZSiGHNkkWgFInQqPEP0xb
37,Ne è valsa la pena (feat. Ghali),Capo Plaza,735847,2018-09-21--2018-09-28,it,6GTCOWvhjvdk4pwlfrSjNO
38,Porto Cervo,Lazza,724111,2018-09-21--2018-09-28,it,0TAt3c8KXb1D3sWT8ENar8
39,Vaina Loca,Ozuna,723368,2018-09-21--2018-09-28,it,48zFZh27QU5qsrBjn4C2FA
40,Jackie Chan,Tiësto,717626,2018-09-21--2018-09-28,it,4kWO6O1BUXcZmaxitpVUwp
41,Peace & Love,Charlie Charles,682082,2018-09-21--2018-09-28,it,4BGmYEDOK1swwoxTtfmVZD
42,Uno squillo,Capo Plaza,677199,2018-09-21--2018-09-28,it,7zivIUyCw9MmYftdcayXnN
43,Malibu,Vegas Jones,655371,2018-09-21--2018-09-28,it,08AN0HMXNr3DGGDCOWsTAw
44,I Like It,Cardi B,641534,2018-09-21--2018-09-28,it,58q2HKrzhC3ozto2nDdN4z
45,Lucky You (feat. Joyner Lucas),Eminem,639287,2018-09-21--2018-09-28,it,60SdxE8apGAxMiRrpbmLY0
46,Morirò da Re,Måneskin,631278,2018-09-21--2018-09-28,it,47LqR8uKRA8WcZcSXkdAbz
47,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,627554,2018-09-21--2018-09-28,it,2E124GmJRnBJuXbTb4cPUB
48,Non Ti Dico No,Boomdabash,604456,2018-09-21--2018-09-28,it,07Xuc7SQU2GAJY6Gnt93ub
49,Solo Te E Me (feat. Giulia Jean),GionnyScandal,601912,2018-09-21--2018-09-28,it,7zPr2eaVerEShHQ36BHQTD
50,Questa nostra stupida canzone d'amore,Thegiornalisti,578331,2018-09-21--2018-09-28,it,1Kw6V4wiZKTVwLZ5YcYJR3
51,Hotel,Gue Pequeno,577965,2018-09-21--2018-09-28,it,36Hq9MRDTBi2XY4SBJ7rM8
52,Promises (with Sam Smith),Calvin Harris,570088,2018-09-21--2018-09-28,it,5N5k9nd479b1xpDZ4usjrg
53,Torna Da Me,Luche,564118,2018-09-21--2018-09-28,it,5iSHLCuc0K3pUW16b7sSP4
54,Cascare nei tuoi occhi,Ultimo,537380,2018-09-21--2018-09-28,it,60oJSn5MTG2VNvCJKwd65M
55,Vertigini,Tedua,535105,2018-09-21--2018-09-28,it,1Oou7m2VuxCDSOdqsu07TU
56,Zero stare sereno,Thegiornalisti,532307,2018-09-21--2018-09-28,it,5MCOAQ3gNReN6bZqrg4ZV6
57,Happier,Marshmello,529236,2018-09-21--2018-09-28,it,2dpaYNEQHiRxtZbfNsse99
58,SAD!,XXXTENTACION,528363,2018-09-21--2018-09-28,it,3ee8Jmje8o58CHK66QrVC2
59,My Life Is Going On - Burak Yeter Remix,Burak Yeter,527872,2018-09-21--2018-09-28,it,2qzyXvxqBlOx4BUzbTzPvu
60,La stessa,Alessandra Amoroso,524876,2018-09-21--2018-09-28,it,0x7pHyBX8Ph2j4knBp1he9
61,Youngblood,5 Seconds of Summer,522485,2018-09-21--2018-09-28,it,2iUXsYOEPhVqEBwsqP70rE
62,Solletico (feat. Tedua & The Night Skinny),Rkomi,510936,2018-09-21--2018-09-28,it,6gan8nbS78t2sUy0M9UpAX
63,Keanu Reeves (feat. Achille Lauro),Gemitaiz,508870,2018-09-21--2018-09-28,it,1MGXWglFoINJdrcp2W0U0w
64,These Days,Rudimental,490714,2018-09-21--2018-09-28,it,5CLGzJsGqhCEECcpnFQA8x
65,Non Abbiamo Età,Luche,490096,2018-09-21--2018-09-28,it,0NwuXciw6eQc4edjwSBnV3
66,Tutto tua madre,J-AX,487667,2018-09-21--2018-09-28,it,1PahySwtcIaiG7GUnCy9tx
67,Pianeti,Ultimo,487447,2018-09-21--2018-09-28,it,2w5wtWq30yTkNSG9YjMFvW
68,Hands Up (feat. DNCE),Merk & Kremont,487249,2018-09-21--2018-09-28,it,0nlyO7lNTOYB0gjDp7NI7H
69,One Kiss (with Dua Lipa),Calvin Harris,482319,2018-09-21--2018-09-28,it,7ef4DlsgrMEH11cDZd32M6
70,Calypso,Luis Fonsi,481321,2018-09-21--2018-09-28,it,4178A5NkEjcsGc64jpBO6d
71,La musica non c'è,Coez,474931,2018-09-21--2018-09-28,it,7MMJa7cjMadOSR6CFWvB1x
72,Parku i Lojrave (feat. Ghali),Noizy,466380,2018-09-21--2018-09-28,it,1k8A2tF882vdIQj0FQwHbr
73,DAM 2 (il ritorno),Il Pagante,465927,2018-09-21--2018-09-28,it,33k2G8hREO3QbEkWx3PC6G
74,Babysitter,Gue Pequeno,455280,2018-09-21--2018-09-28,it,6D7Xdzwg49z8JNZowJc1B2
75,Cupido (feat. Quavo),Sfera Ebbasta,454856,2018-09-21--2018-09-28,it,0dLToDou8YHYJpQltj3Ijy
76,Un domani (feat. Mr.Rain),Annalisa,453269,2018-09-21--2018-09-28,it,5ZUbSBnGDbmBGcH2l1575M
77,Perdonami,Salmo,446342,2018-09-21--2018-09-28,it,7kK2m2KDEL0W8oFq6fuOcf
78,Eastside (with Halsey & Khalid),benny blanco,438217,2018-09-21--2018-09-28,it,0d2iYfpKoM0QCKvcLCkBao
79,Il ballo delle incertezze,Ultimo,438173,2018-09-21--2018-09-28,it,0Wq6iAraiUpSbBSPmv4gLu
80,We Can Do Better,Matt Simons,437612,2018-09-21--2018-09-28,it,1hLjLWrzO18acdCFcccFWk
81,La Cintura,Alvaro Soler,436228,2018-09-21--2018-09-28,it,355kY0VYYf2AUOnUsU56Xq
82,Simba,Ernia,427200,2018-09-21--2018-09-28,it,69d3X2Nv5AWHUeTktfOqpV
83,Bam Bam (feat. Cosculluela & El Micha),Gue Pequeno,425526,2018-09-21--2018-09-28,it,6MfHDf64Y35vw1JXoOC0Jw
84,Be Alright,Dean Lewis,424640,2018-09-21--2018-09-28,it,3EPXxR3ImUwfayaurPi3cm
85,Ricchi x Sempre,Sfera Ebbasta,423886,2018-09-21--2018-09-28,it,0kHTkvGavvk2MjBTSUtOZx
86,Rise,Jonas Blue,421720,2018-09-21--2018-09-28,it,3u1S1OmAUhx5DRlLrXqyp3
87,Purple Rain (feat. Gemitaiz & Frenetik&Orang3),Achille Lauro,418308,2018-09-21--2018-09-28,it,0PpB4YTfszDRmQxLirA4pM
88,British,Dark Polo Gang,409235,2018-09-21--2018-09-28,it,3eIRxkHV1xKsSJ8WWFfGjE
89,Bro (feat. Tedua),Ernia,403694,2018-09-21--2018-09-28,it,0muEgLSADRCBEIBzoivkqS
90,Moonlight,XXXTENTACION,399326,2018-09-21--2018-09-28,it,0JP9xo3adEtGSdUEISiszL
91,Natural,Imagine Dragons,399317,2018-09-21--2018-09-28,it,4zIO3ilp5HvTeK3HJHxhMP
92,Pem Pem,Elettra Lamborghini,398902,2018-09-21--2018-09-28,it,1xYiaH50bbhvYXLQMmbjpY
93,Bandita,Jake La Furia,393196,2018-09-21--2018-09-28,it,1AxEMGsutOIbDzZnvj0yaj
94,Flames,David Guetta,392383,2018-09-21--2018-09-28,it,66BjcDhhwWCcQIBxHMpKXh
95,Love,Thegiornalisti,392306,2018-09-21--2018-09-28,it,3NLpX8eUwICPSgGAp5bOGp
96,Thunderclouds,Sia,391220,2018-09-21--2018-09-28,it,5a8RPWgKSmcGBGcffmIrUi
97,Melody (feat. James Blunt),Lost Frequencies,388852,2018-09-21--2018-09-28,it,5r49JKf2vWBF0CQjZewJ0O
98,Hugh Guefner,Gue Pequeno,385081,2018-09-21--2018-09-28,it,5KzavSDoVYWdxH3qGt3dFg
99,BEBE,6ix9ine,383073,2018-09-21--2018-09-28,it,7ATATJztoWLcqDAcVVof0C
100,Sobrio (feat. Elodie),Gue Pequeno,382836,2018-09-21--2018-09-28,it,7H2qxzM4pGKMMrCpStB8yS
101,Better Now,Post Malone,377642,2018-09-21--2018-09-28,it,7dt6x5M1jzdTEt8oCbisTK
102,Acqua Calda E Limone (feat. Ernia),Rkomi,370297,2018-09-21--2018-09-28,it,2OIXm3ZM0pbSXQYrq9C5RN
103,El Party,Jake La Furia,368261,2018-09-21--2018-09-28,it,19LRRuiMQ8a9jhqSf8jVip
104,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)",Achille Lauro,357836,2018-09-21--2018-09-28,it,2l9XbXBbKoEfc1JdCvSz4n
105,Crazy,Lost Frequencies,356852,2018-09-21--2018-09-28,it,2hqy4QmpvMeVz6zeolDeLQ
106,Lucid Dreams,Juice WRLD,354509,2018-09-21--2018-09-28,it,0s3nnoMeVWz3989MkNQiRf
107,The Middle,Zedd,350701,2018-09-21--2018-09-28,it,09IStsImFySgyp0pIQdqAc
108,X,Nicky Jam,349367,2018-09-21--2018-09-28,it,39N9RPD9MRb5WmoLzNzPeA
109,Sempre In Due,Carl Brave x Franco 126,346907,2018-09-21--2018-09-28,it,6ElWuGFrYbsf2mdHWUoGCk
110,Sciroppo (feat. DrefGold),Sfera Ebbasta,339727,2018-09-21--2018-09-28,it,4VVG3HBGaqSNZqIpmewIA6
111,Serio (feat. Capo Plaza),Emis Killa,338618,2018-09-21--2018-09-28,it,2Cm9pUNjLYpLo2gjIiTBPa
112,Rockstar,Sfera Ebbasta,333056,2018-09-21--2018-09-28,it,3js3wKPw8VxBWtcXtwyUnA
113,Me Niego (feat. Ozuna & Wisin),Reik,331860,2018-09-21--2018-09-28,it,6jA8JUuPCGYjFcgw0AoM5T
114,Non cambierò mai,Capo Plaza,329879,2018-09-21--2018-09-28,it,1PB00xFcBdahfUcJIkB8wG
115,Cara Italia,Ghali,328765,2018-09-21--2018-09-28,it,3atDsUhlUgDlQQrI0XFh7I
116,SICKO MODE,Travis Scott,328018,2018-09-21--2018-09-28,it,2xLMifQCjDGFmkHkpNLD9h
117,scuol4,tha Supreme,325156,2018-09-21--2018-09-28,it,6ukVfkwkTlQvfvD477n0qr
118,Veleno 6,MadMan,320337,2018-09-21--2018-09-28,it,7GfXjqXD9aBvDoBdZ7EwPH
119,Giovane fuoriclasse,Capo Plaza,318398,2018-09-21--2018-09-28,it,60muwbD6E61lEYQSnEYlLc
120,Taste (feat. Offset),Tyga,317108,2018-09-21--2018-09-28,it,5IaHrVsrferBYDm0bDyABy
121,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",Steve Aoki,315682,2018-09-21--2018-09-28,it,5e45GhSF18JYoLpaq2F48h
122,changes,XXXTENTACION,313072,2018-09-21--2018-09-28,it,7AFASza1mXqntmGtbxXprO
123,Start Again (with Vegas Jones),OneRepublic,310974,2018-09-21--2018-09-28,it,5kITqlHH4ZJXWbczDmvWQB
124,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,310639,2018-09-21--2018-09-28,it,2zy9TMoZlYGuCNY4TLqG24
125,Sin Pijama,Becky G,307372,2018-09-21--2018-09-28,it,2ijef6ni2amuunRoKTlgww
126,Serpenti A Sonagli,Sfera Ebbasta,306440,2018-09-21--2018-09-28,it,5Z0Mx6SeUAFA2rgZB9t1Nu
127,Sogni appesi,Ultimo,302595,2018-09-21--2018-09-28,it,2HgBmx6tfhRO417ahshpeQ
128,Ipernova,Mr.Rain,301564,2018-09-21--2018-09-28,it,1TaSkLG2bXx84YuKmJvncw
129,Paracetamolo,Calcutta ,295255,2018-09-21--2018-09-28,it,4OQ1G3dyVx0SPUzBiWCNat
130,Allenamento #2,Capo Plaza,293171,2018-09-21--2018-09-28,it,2z3sYBYhLhsGTOKZe5vkcM
131,IDGAF,Dua Lipa,286169,2018-09-21--2018-09-28,it,76cy1WJvNGJTj78UqeA5zr
132,Electricity (with Dua Lipa),Silk City,283602,2018-09-21--2018-09-28,it,5N4erncE7kuUccm7zEmwzk
133,Síguelo Bailando,Ozuna,281176,2018-09-21--2018-09-28,it,5Y9fnynLlIvqtM710MHzfz
134,Irraggiungibile (feat. Federica Carta),Shade,280626,2018-09-21--2018-09-28,it,03PDOt4cRKQgpYfA9I9wnC
135,God's Plan,Drake,279975,2018-09-21--2018-09-28,it,6DCZcSspjsKoFjzjrWoCdn
136,Jocelyn Flores,XXXTENTACION,278284,2018-09-21--2018-09-28,it,7m9OqQk4RVRkw9JJdeAw96
137,Boss,DrefGold,277863,2018-09-21--2018-09-28,it,2kqkUq4JGQh0uTREejMpvv
138,Mala Mía,Maluma,277103,2018-09-21--2018-09-28,it,62o8KoI44JfN7aYxgTnPvh
139,La stella più fragile dell'universo,Ultimo,276689,2018-09-21--2018-09-28,it,3iHqUSg0LBRxAF5CzjBK9y
140,Bye bye,Annalisa,276186,2018-09-21--2018-09-28,it,7hRM2EHbeVZl4fPSK2XxOO
141,Next To Me,Imagine Dragons,273939,2018-09-21--2018-09-28,it,31VOknKjFrEX47bZXzqcoF
142,Guarda come flexo,MamboLosco,273114,2018-09-21--2018-09-28,it,7pNSr2gQMVghpTcZvQUroa
143,Giù da me,Capo Plaza,272242,2018-09-21--2018-09-28,it,06VV1e6OgFMG2XSxsnRxxM
144,Gli occhi della tigre,Nayt,266444,2018-09-21--2018-09-28,it,0eczHniJguffShMNltOqMo
145,Like I Do,David Guetta,265960,2018-09-21--2018-09-28,it,4aBYzs8RxZMuqyOanNlf8I
146,L'ultimo giorno della Terra,Thegiornalisti,265060,2018-09-21--2018-09-28,it,12YIC28VANREi66KQrEruY
147,Controllo,Thegiornalisti,263742,2018-09-21--2018-09-28,it,280vpFLeP86WEQGtsycO8O
148,No Brainer,DJ Khaled,263129,2018-09-21--2018-09-28,it,5WvAo7DNuPRmk4APhdPzi8
149,Dura,Daddy Yankee,262856,2018-09-21--2018-09-28,it,6KuqAtoeVzxAYOaMveLNpH
150,Ulalala,Achille Lauro,260368,2018-09-21--2018-09-28,it,2NTxalkIR7Yz1nl5iIFWAz
151,1984,Salmo,257717,2018-09-21--2018-09-28,it,0OU4v07h5oT26f4zmxzddH
152,Lo Sai Che Ci Penso,Gemitaiz,257317,2018-09-21--2018-09-28,it,6qE4ocLpaSUkWYrcpbPN7Z
153,Malibu (feat. Gemitaiz),Carl Brave,256901,2018-09-21--2018-09-28,it,5S2Bshrq6Bh4zHZoXkUtvf
154,Una casa al mare,Thegiornalisti,256874,2018-09-21--2018-09-28,it,0jTtiwhuZ8HqlCZrIMZ0rh
155,Il Terrone Va Di Moda,Il Pagante,253819,2018-09-21--2018-09-28,it,2OewgwaDHgeMZepcAyVlzy
156,Casa Mia (feat. Luchè & Capo Plaza),Noyz Narcos,252669,2018-09-21--2018-09-28,it,6NnO2rbViEDhX6wewADukc
157,rockstar (feat. 21 Savage),Post Malone,252665,2018-09-21--2018-09-28,it,0e7ipj03S05BNilyu5bRzt
158,Fumo bianco,Chadia Rodriguez,252307,2018-09-21--2018-09-28,it,54ivBWjaiBH5W2fAVYV1k3
159,breathin,Ariana Grande,252139,2018-09-21--2018-09-28,it,4OafepJy2teCjYJbvFE60J
160,Me Dijeron,Ozuna,250522,2018-09-21--2018-09-28,it,17UUYZ290omPaJY4wKeyHh
161,Centro (feat. Coez),MadMan,247412,2018-09-21--2018-09-28,it,6DGl9TtxYTpMFrmZa1mwEz
162,Zingarello,Ghali,246645,2018-09-21--2018-09-28,it,12tAWUo1yKx0FRuEhYZjxQ
163,Pesto,Calcutta ,244480,2018-09-21--2018-09-28,it,4UHDgfDtSSv9SqyfEFr4sF
164,Killshot,Eminem,244250,2018-09-21--2018-09-28,it,1jo3TwNGCXfNdB5uba3ZVv
165,Tran Tran,Sfera Ebbasta,244189,2018-09-21--2018-09-28,it,3cGuiySfwJPXqvE15OiEEg
166,Vabbene,Capo Plaza,242672,2018-09-21--2018-09-28,it,5n9Ss9tXZEy5Z18BxYm8KW
167,Whatever It Takes,Imagine Dragons,242645,2018-09-21--2018-09-28,it,6Qn5zhYkTa37e91HC1D7lb
168,Faccio un casino,Coez,242303,2018-09-21--2018-09-28,it,6qNXkVk19OYLu4CoqjDfZ0
169,Born To Be Yours,Kygo,240995,2018-09-21--2018-09-28,it,0kHyKhJMukHEPfeh8s7rdM
170,In My Blood,Shawn Mendes,240155,2018-09-21--2018-09-28,it,2QZ7WLBE8h2y1Y5Fb8RYbH
171,Portami con te,Boomdabash,240153,2018-09-21--2018-09-28,it,2S5H2pKuM6lgLC00VVKCZD
172,Shape of You,Ed Sheeran,240071,2018-09-21--2018-09-28,it,7qiZfU4dY1lWllzX7mPBI3
173,Riccione,Thegiornalisti,239212,2018-09-21--2018-09-28,it,6RiprjTTheMrJ2ypJxz3H4
174,Le luci della città,Coez,236476,2018-09-21--2018-09-28,it,381VH1JFj9q08V1OMlPU5m
175,Who You Are - Full English Version,Mihail,235612,2018-09-21--2018-09-28,it,6BqytANy7ggG3rcIe6CZry
176,Leave a Light On,Tom Walker,235217,2018-09-21--2018-09-28,it,6lOWoTqVnAWXchddtTH31W
177,Paradise Lost,Gemitaiz,233841,2018-09-21--2018-09-28,it,1o3hgrxrtzKjsF36oLtook
178,Échame La Culpa,Luis Fonsi,233839,2018-09-21--2018-09-28,it,2hl6q70unbviGo3g1R7uFx
179,Nisida,Capo Plaza,232982,2018-09-21--2018-09-28,it,4xQKBnkP60odQCJaEEwB1g
180,The Ringer,Eminem,232926,2018-09-21--2018-09-28,it,2jt2WxXMCD4zjACthkJQVE
181,Booster,DrefGold,232624,2018-09-21--2018-09-28,it,6m1rkw3TQ5xTB0sPbXEF2o
182,Milano Roma,Thegiornalisti,228636,2018-09-21--2018-09-28,it,1ljdbMFCdyiDituKlfJcFb
183,Missili,Frah Quintale,228079,2018-09-21--2018-09-28,it,5dcyltc1ataieXIeTqhH3t
184,Alleluja,Highsnob,226581,2018-09-21--2018-09-28,it,512LcDe2LJq2rNlb5R0E7s
185,Perfect,Ed Sheeran,225818,2018-09-21--2018-09-28,it,0tgVpDi06FyKpA1z0VMD4v
186,Amore a prima insta,Shade,225629,2018-09-21--2018-09-28,it,4oJLF1XZd4tp7kqbfxmvDU
187,Tutta la vita,Gazzelle,222116,2018-09-21--2018-09-28,it,5vJzJ2DK5ZiGwx6TaMcI95
188,God is a woman,Ariana Grande,221074,2018-09-21--2018-09-28,it,5OCJzvD7sykQEKHH7qAC3C
189,Milano Bachata,Rkomi,220949,2018-09-21--2018-09-28,it,4npeg094qxxH7Fp2aoi04O
190,FRIENDS,Marshmello,218995,2018-09-21--2018-09-28,it,08bNPGLD8AhKpnnERrAc6G
191,Criminal,Natti Natasha,218863,2018-09-21--2018-09-28,it,6Za3190Sbw39BBC77WSS1C
192,68,Ernia,216252,2018-09-21--2018-09-28,it,3HG58pNCGOB5f9qZFZY405
193,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,215615,2018-09-21--2018-09-28,it,5Xn4IyTtW6FUGIUyWjbUHG
194,Mad Love,Sean Paul,214976,2018-09-21--2018-09-28,it,4dSoDnmR9opAQ8KxUc9SbC
195,Chapeau (feat. Frah Quintale),Carl Brave,214567,2018-09-21--2018-09-28,it,4qB5WfP7AzwPzU4OddDm4b
196,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,212487,2018-09-21--2018-09-28,it,0cDwUAF7yQrOLRcFfJpSc2
197,Chic,Izi,212329,2018-09-21--2018-09-28,it,7jUJ2RmT4PFHHq4goMWqm3
198,Visiera A Becco,Sfera Ebbasta,211956,2018-09-21--2018-09-28,it,4ySxBjhmdnkeFUqhKxW3cY
199,Unica,Ozuna,211236,2018-09-21--2018-09-28,it,33b2wX9d0kxqxhi7lcsC1A
200,Machika - Remix,J Balvin,210812,2018-09-21--2018-09-28,it,1lBqTGQ0nX1JeA2m7T51ux
1,Cambiare Adesso,Dark Polo Gang,2963199,2018-09-28--2018-10-05,it,01MJgnPL3AuwmYQ4EbHzD7
2,90MIN,Salmo,2262809,2018-09-28--2018-10-05,it,1YzlPeHWPU0JeM0u4ya5zj
3,Torna a casa,Måneskin,1934465,2018-09-28--2018-10-05,it,7dV2UrZQ58Mn18u0V19S3Y
4,Splash,Dark Polo Gang,1855038,2018-09-28--2018-10-05,it,3plul4vw51AF1e8FRykm96
5,Trap Phone (feat. Capo Plaza),Gue Pequeno,1505300,2018-09-28--2018-10-05,it,50Vy6DvEWNLDaQV5j9TdDS
6,Borsello (feat. Sfera Ebbasta & DrefGold),Gue Pequeno,1336977,2018-09-28--2018-10-05,it,6gAySqc7QK27KEASxmc7Ag
7,Toy Boy,Dark Polo Gang,1318471,2018-09-28--2018-10-05,it,7CoEfOFe6fmJ2IIkTxQ2EK
8,D'estate non vale (feat. Ana Mena),Fred De Palma,1315707,2018-09-28--2018-10-05,it,3dCEtkAfWhk15bLAWZAKLy
9,Pablo,Rvssian,1227925,2018-09-28--2018-10-05,it,0l8vhDaEztxLCQsFOAX64d
10,2% (feat. Frah Quintale),Gue Pequeno,1122415,2018-09-28--2018-10-05,it,1GZPzAyqLxOu9ANPIKMlCs
11,Young Rich Gang,Dark Polo Gang,1091387,2018-09-28--2018-10-05,it,4OxhRzZVJmCraeu8F45fxe
12,Nera,Irama,1082620,2018-09-28--2018-10-05,it,6Lc0La3OwOmAouQjbID4uX
13,Rollercoaster,Emis Killa,1078449,2018-09-28--2018-10-05,it,2Qe5XpRwGHFmMkZim0gRye
14,Balla,Zoda,1069147,2018-09-28--2018-10-05,it,1ex3YwDpPLF2JeA8ZgPBto
15,Girls Like You (feat. Cardi B),Maroon 5,998003,2018-09-28--2018-10-05,it,7fa9MBXhVfQ8P8Df9OEbD8
16,Amore e Capoeira,Takagi & Ketra,988070,2018-09-28--2018-10-05,it,5Vwqy3CS2aCB6jcgm1qWfk
17,In My Mind,Dynoro,979704,2018-09-28--2018-10-05,it,0E9ZjEAyAwOXZ7wJC0PD33
18,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,977464,2018-09-28--2018-10-05,it,4w8niZpiMy6qz1mntFA5uM
19,Davide (feat. Coez),Gemitaiz,973278,2018-09-28--2018-10-05,it,1Lq5ApqhIWUXzlryFX2K6J
20,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,961972,2018-09-28--2018-10-05,it,093RgZ7RXHZwIrxZhZYX4Q
21,Modalità Aereo (feat. Luchè & Marracash),Gue Pequeno,939445,2018-09-28--2018-10-05,it,6rvSAESqueLmDe00pudWtr
22,Guarda Come Flexo 2,MamboLosco,902194,2018-09-28--2018-10-05,it,6PX2GtCt8YJzOQ4ulJM41k
23,I Love It (& Lil Pump),Kanye West,890656,2018-09-28--2018-10-05,it,4S8d14HvHb70ImctNgVzQQ
24,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,889326,2018-09-28--2018-10-05,it,3fw3W15QK6a9UxJGgndtYu
25,Felicità puttana,Thegiornalisti,883286,2018-09-28--2018-10-05,it,695AOnYHYnvHIMaTNKjkA5
26,Da zero a cento,Baby K,878779,2018-09-28--2018-10-05,it,4cQR1R25cpABjPMzpybNSQ
27,Uomini E Donne,Dark Polo Gang,848433,2018-09-28--2018-10-05,it,18gUkxXyOVGMo6rhPokdX7
28,Te Boté - Remix,Nio Garcia,817815,2018-09-28--2018-10-05,it,3V8UKqhEK5zBkBb6d6ub8i
29,Expensive (feat. MamboLosco),Dark Polo Gang,811054,2018-09-28--2018-10-05,it,2zScwPtvHOlnnADbzRgeoS
