Position,Track Name,Artist,Streams,date,region,id
1,BEBE,6ix9ine,94722,2018-09-21--2018-09-28,pa,7ATATJztoWLcqDAcVVof0C
2,Mocca,Lalo Ebratt,92356,2018-09-21--2018-09-28,pa,0NKoPGc72yUKTIneVhFfg1
3,Vaina Loca,Ozuna,87972,2018-09-21--2018-09-28,pa,48zFZh27QU5qsrBjn4C2FA
4,Culpables,KAROL G,83852,2018-09-21--2018-09-28,pa,6q8Lb50EtqNeeJXXe8mMAH
5,Quiere Beber,Anuel AA,82676,2018-09-21--2018-09-28,pa,3rPAD722s5FFNnwjC91t7Z
6,Ibiza,Ozuna,76221,2018-09-21--2018-09-28,pa,1h9P5WJwyvK8OB7O2YiXgp
7,Toda - Remix,Alex Rose,66715,2018-09-21--2018-09-28,pa,7nD2JPaxIKUdxd2UWgnaGL
8,No Es Justo,J Balvin,58366,2018-09-21--2018-09-28,pa,5qFeMRz4TvetPmzjre9Dq7
9,Hipócrita,Anuel AA,56635,2018-09-21--2018-09-28,pa,6XBjCetHKdO5L9cwMDVffw
10,Te Boté - Remix,Nio Garcia,54078,2018-09-21--2018-09-28,pa,3V8UKqhEK5zBkBb6d6ub8i
11,Ni Gucci Ni Prada,Kenny Man,52714,2018-09-21--2018-09-28,pa,32lexhcz93AinKK0qLTZaZ
12,Culpables,Manuel Turizo,50744,2018-09-21--2018-09-28,pa,3RD0PGolM0mETGHaprwgMn
13,Te Gusta Hacerla,Eddy Lover,48462,2018-09-21--2018-09-28,pa,2o2gdSF4k51YO18WEWY40v
14,Asesina,Brytiago,43514,2018-09-21--2018-09-28,pa,6rbhaJsE4uLzpPf8WYSHDK
15,Unica,Ozuna,42280,2018-09-21--2018-09-28,pa,33b2wX9d0kxqxhi7lcsC1A
16,Cuando Te Besé,Becky G,41038,2018-09-21--2018-09-28,pa,2XXMDz7SPZ4mSFN1PXfHUy
17,La player (Bandolera),Zion & Lennox,40884,2018-09-21--2018-09-28,pa,0VKkyBKCXyR99navhVRqcP
18,Sin Pijama,Becky G,40177,2018-09-21--2018-09-28,pa,2ijef6ni2amuunRoKTlgww
19,Mala Mía,Maluma,37963,2018-09-21--2018-09-28,pa,62o8KoI44JfN7aYxgTnPvh
20,Estamos Bien,Bad Bunny,36677,2018-09-21--2018-09-28,pa,7glCSQqV5o6NU88Cn4zPZn
21,Madura (feat. Bad Bunny),Cosculluela,35833,2018-09-21--2018-09-28,pa,0r9d60ZYPAlFHq8qnUtkXN
22,Amigos Con Derechos,Reik,35570,2018-09-21--2018-09-28,pa,2zDj4WjbNDmrRL6Z4YjjCA
23,Brindemos,Anuel AA,34042,2018-09-21--2018-09-28,pa,7LeQ55Z5jPBB0ggYJtAiYO
24,Meneo sucio,Dubosky,33168,2018-09-21--2018-09-28,pa,4g2jrgGWo6KFZvxmYrIvsI
25,Me Dijeron,Ozuna,32885,2018-09-21--2018-09-28,pa,17UUYZ290omPaJY4wKeyHh
26,Devuelveme,Ozuna,32758,2018-09-21--2018-09-28,pa,5uvucCRBTkxv7VxIDLOqe7
27,Ya No Tiene Novio,Sebastian Yatra,32016,2018-09-21--2018-09-28,pa,7uQmJ1jgNzBpATSoWKSPFu
28,Desenfreno,Boza,31833,2018-09-21--2018-09-28,pa,373CLPJGyPpYLWBFr7125j
29,Tic It and Tac,Bobo,31546,2018-09-21--2018-09-28,pa,1OrwUILQVn4jBxZHe5T9L2
30,Ratas y Ratones,Boza,31212,2018-09-21--2018-09-28,pa,2Ch60RcV8uYCxFWUC7D1SE
31,DJ Pon La Plena De Danger,Japanese,30290,2018-09-21--2018-09-28,pa,5TtG2bwHQFfsB6NrGMGB2L
32,I Like It,Cardi B,29918,2018-09-21--2018-09-28,pa,58q2HKrzhC3ozto2nDdN4z
33,Me Niego (feat. Ozuna & Wisin),Reik,29845,2018-09-21--2018-09-28,pa,6jA8JUuPCGYjFcgw0AoM5T
34,Clandestino,Shakira,29619,2018-09-21--2018-09-28,pa,7DrluKkTviBwCc8AV3VGmf
35,No Me Acuerdo,Thalía,29530,2018-09-21--2018-09-28,pa,00EPIEnX1JFjff8sC6bccd
36,X - Remix,Nicky Jam,27748,2018-09-21--2018-09-28,pa,6JjPBQfI2Y8nIjnm65X6Pw
37,Por Perro,Sebastian Yatra,26630,2018-09-21--2018-09-28,pa,2alIsNw1mqEShbWyO1HXZZ
38,I Love It (& Lil Pump),Kanye West,25867,2018-09-21--2018-09-28,pa,4S8d14HvHb70ImctNgVzQQ
39,¿Cual es tu plan?,Bad Bunny,25773,2018-09-21--2018-09-28,pa,4HRDBtek0ayfLQ6uc7rjO9
40,In My Feelings,Drake,25458,2018-09-21--2018-09-28,pa,2G7V7zsVDxg1yRsu7Ew9RJ
41,Lo Malo,Sech,25226,2018-09-21--2018-09-28,pa,4e0sAwSNPxK9Zn3vnZoZ11
42,Triste,Bryant Myers,24310,2018-09-21--2018-09-28,pa,5MNS5FF4LrTX0jIaI0gory
43,Mi Cama - Remix,KAROL G,23653,2018-09-21--2018-09-28,pa,38QmUDpkoYlNbMKvpvAsrE
44,Girls Like You (feat. Cardi B),Maroon 5,23390,2018-09-21--2018-09-28,pa,7fa9MBXhVfQ8P8Df9OEbD8
45,Casualidad,Nacho,23208,2018-09-21--2018-09-28,pa,08rwXPBZ2DHOwnL7xaz044
46,La Modelo,Ozuna,22507,2018-09-21--2018-09-28,pa,2SbzdGpOKlH3HIAGTWTbwU
47,Pasado y Presente,Ozuna,22312,2018-09-21--2018-09-28,pa,6NPjHwhEG7eQUQBoPFBrnz
48,Te Amo,Piso 21,20868,2018-09-21--2018-09-28,pa,2RVrdr062uLFxXwIxwdXPH
49,Aura,Ozuna,20748,2018-09-21--2018-09-28,pa,1AVu7Kc2MRrLfOG1RCEf07
50,Falling Down - Bonus Track,Lil Peep,20361,2018-09-21--2018-09-28,pa,0Dn40gxVCMo5TkgS8Ik18Q
51,Dura - Remix,Daddy Yankee,20235,2018-09-21--2018-09-28,pa,6U2NuJILEOEpW2tVCuqKHb
52,PPP,Kevin Roldan,19890,2018-09-21--2018-09-28,pa,1DcxnVNFAyVl2sDQ646pXS
53,Miss Lonely - Dimelo Flow Remix,Sech,19008,2018-09-21--2018-09-28,pa,3tRtlS9YUyYqVgqO3iM4bW
54,Ponle,Rvssian,17852,2018-09-21--2018-09-28,pa,28O1p0bQXH2F6Qn8jBZZR4
55,Celoso,Lele Pons,17189,2018-09-21--2018-09-28,pa,33zcmmElV1YbRZe57biUjg
56,Drogba (Joanna),Afro B,17035,2018-09-21--2018-09-28,pa,5mGgDgKFF2ZPw1aowsYb2e
57,Como Es,Akim,16816,2018-09-21--2018-09-28,pa,3qq4E32TowNeYPtUqQHKsu
58,Epa Wei,Danny Ocean,16816,2018-09-21--2018-09-28,pa,2QmsKag0YaqhAbpR9Nwmpn
59,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,16736,2018-09-21--2018-09-28,pa,5bITfqKGaPakO1l99hOMsI
60,Déjala que vuelva (feat. Manuel Turizo),Piso 21,16525,2018-09-21--2018-09-28,pa,1j6xOGusnyXq3l6IryKF3G
61,Síguelo Bailando,Ozuna,16381,2018-09-21--2018-09-28,pa,5Y9fnynLlIvqtM710MHzfz
62,Calypso,Luis Fonsi,16089,2018-09-21--2018-09-28,pa,4178A5NkEjcsGc64jpBO6d
63,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,15905,2018-09-21--2018-09-28,pa,2E124GmJRnBJuXbTb4cPUB
64,Supuestamente,Ozuna,15611,2018-09-21--2018-09-28,pa,1ZBU5DSoYQwaZVgep6pfn2
65,Esperándote,Manuel Turizo,15291,2018-09-21--2018-09-28,pa,1nfyE13arjOuO54HH0zmqj
66,Criminal,Natti Natasha,15212,2018-09-21--2018-09-28,pa,6Za3190Sbw39BBC77WSS1C
67,Promises (with Sam Smith),Calvin Harris,15180,2018-09-21--2018-09-28,pa,5N5k9nd479b1xpDZ4usjrg
68,Bella - Remix,Wolfine,15165,2018-09-21--2018-09-28,pa,0SaYeGhSXN0dDWstyNTQ56
69,Solita,Ozuna,15046,2018-09-21--2018-09-28,pa,7rwX0O3RlxqqIjQM8evm5E
70,Happier,Marshmello,14791,2018-09-21--2018-09-28,pa,2dpaYNEQHiRxtZbfNsse99
71,No Hay Nadie Más,Sebastian Yatra,14618,2018-09-21--2018-09-28,pa,3IPJg1sdqLj12kFIndaonN
72,X,Nicky Jam,14569,2018-09-21--2018-09-28,pa,39N9RPD9MRb5WmoLzNzPeA
73,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,14216,2018-09-21--2018-09-28,pa,4QtiVmuA88tPQiCOHZuQ5b
74,Loca Remix,Khea,13725,2018-09-21--2018-09-28,pa,2CRbiMK0W14l71SpDKqKZM
75,One Kiss (with Dua Lipa),Calvin Harris,13459,2018-09-21--2018-09-28,pa,7ef4DlsgrMEH11cDZd32M6
76,Electricity (with Dua Lipa),Silk City,13401,2018-09-21--2018-09-28,pa,5N4erncE7kuUccm7zEmwzk
77,Coméntale,Ozuna,12961,2018-09-21--2018-09-28,pa,7oCGD6Ccuw8JmYWw6IrI8z
78,El Satelite,Japanese,12870,2018-09-21--2018-09-28,pa,73dxBMKVWoYQmBN8XGcQW2
79,Me Rehúso,Danny Ocean,12603,2018-09-21--2018-09-28,pa,6De0lHrwBfPfrhorm9q1Xl
80,Se Preparó,Ozuna,12602,2018-09-21--2018-09-28,pa,1m69ELEgE6k5ZWsap40ozt
81,Quiero Repetir,Ozuna,12570,2018-09-21--2018-09-28,pa,0MIcPSq9n2z5H8TAfEstri
82,Eastside (with Halsey & Khalid),benny blanco,12518,2018-09-21--2018-09-28,pa,0d2iYfpKoM0QCKvcLCkBao
83,Yeezy,Anuel AA,12373,2018-09-21--2018-09-28,pa,4CzA04WEvvXF6ItpzVTP4b
84,Unica - Remix,Ozuna,12317,2018-09-21--2018-09-28,pa,5Sv1rKKMX1yl9kfJ2HTluk
85,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,12166,2018-09-21--2018-09-28,pa,3TnhQSRwT3AVMdXw5JPq0x
86,Duro y Suave,Leslie Grace,12135,2018-09-21--2018-09-28,pa,31M5m42C3EGlbydf9XB5to
87,Cuando Nadie Ve,Morat,12095,2018-09-21--2018-09-28,pa,1Cxd4ZJJ9VOQQpNcpdcZEQ
88,Justicia,Silvestre Dangond,11996,2018-09-21--2018-09-28,pa,6ipp8Dhs33KinlF4BStgca
89,God's Plan,Drake,11949,2018-09-21--2018-09-28,pa,6DCZcSspjsKoFjzjrWoCdn
90,Ta To Gucci,Cauty,11908,2018-09-21--2018-09-28,pa,4ZwvzrrLmeaOEYHQmKb94l
91,Una Lady Como Tú,Manuel Turizo,11883,2018-09-21--2018-09-28,pa,7MHN1aCFtLXjownGhvEQlF
92,Original,Arcangel,11810,2018-09-21--2018-09-28,pa,1LBlcCtOrKITXpEp1hnNpj
93,SAD!,XXXTENTACION,11657,2018-09-21--2018-09-28,pa,3ee8Jmje8o58CHK66QrVC2
94,Lucky You (feat. Joyner Lucas),Eminem,11601,2018-09-21--2018-09-28,pa,60SdxE8apGAxMiRrpbmLY0
95,Robarte un Beso,Carlos Vives,11585,2018-09-21--2018-09-28,pa,0JcNysfWVWaMS7R6vzGB2k
96,In My Mind,Dynoro,11561,2018-09-21--2018-09-28,pa,0E9ZjEAyAwOXZ7wJC0PD33
97,El Farsante - Remix,Ozuna,11402,2018-09-21--2018-09-28,pa,7uYgVgRSgqluZclLS7wpp4
98,A Partir De Hoy,David Bisbal,11395,2018-09-21--2018-09-28,pa,7ojH6H4wE6XJNgzU4uvNc8
99,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,11302,2018-09-21--2018-09-28,pa,58smOywZbVu8AjWutppiQA
100,Quiero Mas,Ozuna,11239,2018-09-21--2018-09-28,pa,1aYcpI8hXtpAEdBq8fp1pH
101,Ambiente,J Balvin,11133,2018-09-21--2018-09-28,pa,6VrBWh90BiwWmwKtvwWFcq
102,Dembow,Danny Ocean,11037,2018-09-21--2018-09-28,pa,2EzRdhuoPyNJDlep7lnNf2
103,Shape of You,Ed Sheeran,10931,2018-09-21--2018-09-28,pa,7qiZfU4dY1lWllzX7mPBI3
104,No Brainer,DJ Khaled,10893,2018-09-21--2018-09-28,pa,5WvAo7DNuPRmk4APhdPzi8
105,Rock Your Body,Burna Boy,10873,2018-09-21--2018-09-28,pa,4LbEUmACVAFj8e0WrMUdlN
106,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,10871,2018-09-21--2018-09-28,pa,5q2JbCNi4FcnglgPfxcV65
107,La Serenata,BCA,10822,2018-09-21--2018-09-28,pa,1W5k4lqvW6YQHfKkLVBa7V
108,Sensualidad,Bad Bunny,10771,2018-09-21--2018-09-28,pa,5hcisvFMidkMJlElTO9Qmw
109,Chica Paranormal,Paulo Londra,10616,2018-09-21--2018-09-28,pa,2r77vqSZkOktTSgmAOoHsV
110,Puntos Suspensivos,Piso 21,10492,2018-09-21--2018-09-28,pa,04cd1MHVq1D8v1nuTZoCdv
111,La Patrona,Samy y Sandra Sandoval,10451,2018-09-21--2018-09-28,pa,0iOsZFslP26kqRdbNJIjhk
112,Natural,Imagine Dragons,10400,2018-09-21--2018-09-28,pa,4zIO3ilp5HvTeK3HJHxhMP
113,God is a woman,Ariana Grande,10340,2018-09-21--2018-09-28,pa,5OCJzvD7sykQEKHH7qAC3C
114,Miss Lonely,Sech,10313,2018-09-21--2018-09-28,pa,7gXfTAzWtoKwU7hGT0AUrC
115,Sigueme los Pasos,Ozuna,10303,2018-09-21--2018-09-28,pa,3RTmnQQNya9v6ZKPoCIp2E
116,Lucid Dreams,Juice WRLD,10226,2018-09-21--2018-09-28,pa,0s3nnoMeVWz3989MkNQiRf
117,Toco Mentir,Sech,10169,2018-09-21--2018-09-28,pa,3s49gzIl93cvAbtimjs2c2
118,Entre el Polvo y el Amor (feat. Dubosky),El Codigo Kirkao,10140,2018-09-21--2018-09-28,pa,3WO5AlplUfAfKvQWcRh6ru
119,Na' Nuevo,Anuel AA,10089,2018-09-21--2018-09-28,pa,02LKuab9xcpE1dGc5Gd8iM
120,Govana,Japanese,10011,2018-09-21--2018-09-28,pa,0KRws66QdLXDGtv0oIC0li
121,Thunderclouds,Sia,9854,2018-09-21--2018-09-28,pa,5a8RPWgKSmcGBGcffmIrUi
122,SICKO MODE,Travis Scott,9832,2018-09-21--2018-09-28,pa,2xLMifQCjDGFmkHkpNLD9h
123,Zum Zum,Daddy Yankee,9820,2018-09-21--2018-09-28,pa,7lEhOiFtcLXY4P7cuTKuQ8
124,Perfect,Ed Sheeran,9790,2018-09-21--2018-09-28,pa,0tgVpDi06FyKpA1z0VMD4v
125,Otra vez (feat. J Balvin),Zion & Lennox,9776,2018-09-21--2018-09-28,pa,3QwBODjSEzelZyVjxPOHdq
126,Pensando en Ti,Anuel AA,9775,2018-09-21--2018-09-28,pa,3aY5VP7fEtVHfEc1o8eRNK
127,Escápate Conmigo (feat. Ozuna),Wisin,9744,2018-09-21--2018-09-28,pa,1KSqYYJFyfTecXFk9M0prc
128,Suena El Dembow,Joey Montana,9720,2018-09-21--2018-09-28,pa,0woHVOh3KXLSDv8VU9XwZ4
129,Bipolar,Chris Jeday,9688,2018-09-21--2018-09-28,pa,4WzsycqZkpkS48H9AAAGux
130,no tears left to cry,Ariana Grande,9648,2018-09-21--2018-09-28,pa,2qT1uLXPVPzGgFOx4jtEuo
131,Jocelyn Flores,XXXTENTACION,9579,2018-09-21--2018-09-28,pa,7m9OqQk4RVRkw9JJdeAw96
132,Como Soy,Pacho El Antifeka,9576,2018-09-21--2018-09-28,pa,7jIfxFhZSmH3LGud6D5m2w
133,New Rules,Dua Lipa,9573,2018-09-21--2018-09-28,pa,2ekn2ttSfGqwhhate0LSR0
134,Se Descargo el Amor,BCA,9530,2018-09-21--2018-09-28,pa,0QDta1nPijqfQnn9UhMRby
135,Rosas O Espinas,Joey Montana,9482,2018-09-21--2018-09-28,pa,1TtLoJNPEjmXOoGFDhJXMP
136,Mi Cama,KAROL G,9395,2018-09-21--2018-09-28,pa,7sFYVcKSb24qg0dAkqLEFj
137,Bebe (feat. Anuel AA),Ozuna,9389,2018-09-21--2018-09-28,pa,6SIrNxmmdbv1KUbFBu1PaN
138,breathin,Ariana Grande,9343,2018-09-21--2018-09-28,pa,4OafepJy2teCjYJbvFE60J
139,rockstar (feat. 21 Savage),Post Malone,9327,2018-09-21--2018-09-28,pa,0e7ipj03S05BNilyu5bRzt
140,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,9138,2018-09-21--2018-09-28,pa,5Xn4IyTtW6FUGIUyWjbUHG
141,Solo (feat. Demi Lovato),Clean Bandit,9134,2018-09-21--2018-09-28,pa,6kPJZM97LwdG9QIsT7khp6
142,La Rusa,BK,8864,2018-09-21--2018-09-28,pa,4ISve4LmIdHSZlSFCGX2aO
143,Moonlight,XXXTENTACION,8838,2018-09-21--2018-09-28,pa,0JP9xo3adEtGSdUEISiszL
144,Confia Remix,Juhn,8727,2018-09-21--2018-09-28,pa,1Pa6vEvBMLyHcgNxU8yk23
145,changes,XXXTENTACION,8704,2018-09-21--2018-09-28,pa,7AFASza1mXqntmGtbxXprO
146,La Discusión,Sech,8691,2018-09-21--2018-09-28,pa,2rJN09w9NKdmoLzlCeoMl4
147,Ahora Dice,Chris Jeday,8656,2018-09-21--2018-09-28,pa,5LVoGJTyG6fLJgoGkY2QAZ
148,Sirena,Cali Y El Dandee,8649,2018-09-21--2018-09-28,pa,1juHIWqgFiDFAKuEBP24Lt
149,Échame La Culpa,Luis Fonsi,8601,2018-09-21--2018-09-28,pa,2hl6q70unbviGo3g1R7uFx
150,Escape,Ozuna,8584,2018-09-21--2018-09-28,pa,1PPHqTL7IpYToKeIuA5pi9
151,Amorfoda,Bad Bunny,8538,2018-09-21--2018-09-28,pa,3ITvHA9zhZZdBJsOsAUegF
152,Dura,Daddy Yankee,8509,2018-09-21--2018-09-28,pa,6KuqAtoeVzxAYOaMveLNpH
153,Suelten 2,At' Fat,8458,2018-09-21--2018-09-28,pa,7yl4Sx7j5HZKh6P2hmhKIO
154,Havana (feat. Young Thug),Camila Cabello,8446,2018-09-21--2018-09-28,pa,1rfofaqEpACxVEHIZBJe6W
155,Mayores,Becky G,8433,2018-09-21--2018-09-28,pa,7JNh1cfm0eXjqFVOzKLyau
156,TELÉFONO,Aitana,8382,2018-09-21--2018-09-28,pa,5h8VHxOBK1VWWj46T8fSly
157,Wake Up in the Sky,Gucci Mane,8377,2018-09-21--2018-09-28,pa,0QIjsbm2fh1cJ45XO9eGqq
158,La Vida Sin Ti,Piso 21,8369,2018-09-21--2018-09-28,pa,1RvL7eHoeUolnQbWm2Hnba
159,El Clavo (feat. Maluma) - Remix,Prince Royce,8352,2018-09-21--2018-09-28,pa,6bI00brFpeprqCDqKouEJS
160,El Préstamo,Maluma,8351,2018-09-21--2018-09-28,pa,2XVilv6s9GETnw9PG4T9Mz
161,Better,Khalid,8296,2018-09-21--2018-09-28,pa,4T3fNx3CgwDRRYgmFCbD4J
162,Modo de Avión,Anuel AA,8259,2018-09-21--2018-09-28,pa,6BCEo2rSKFYVubwhXl9KxK
163,Be Alright,Dean Lewis,8211,2018-09-21--2018-09-28,pa,3EPXxR3ImUwfayaurPi3cm
164,Magia (feat. Sebastian Yatra),Andrés Cepeda,8210,2018-09-21--2018-09-28,pa,6xAhkN7uE1qdhPa8jZwhTb
165,Beautiful (feat. Camila Cabello),Bazzi,8210,2018-09-21--2018-09-28,pa,4VUwkH455At9kENOfzTqmF
166,Downtown,Anitta,8196,2018-09-21--2018-09-28,pa,3Ga6eKrUFf12ouh9Yw3v2D
167,REMEDY,Alesso,8196,2018-09-21--2018-09-28,pa,6jreFSOTUAViWjKyzOC4Kg
168,Pineapple,KAROL G,8194,2018-09-21--2018-09-28,pa,2RXzzOxmBlffT81fjwBSVh
169,Haciéndolo,Ozuna,8066,2018-09-21--2018-09-28,pa,1QAdhn27qnsVDFc7ZZZ0Ag
170,La Forma en Que Me Miras,Super Yei,8037,2018-09-21--2018-09-28,pa,6t94PGXYAuo9GbJEnMpPcW
171,Baby Girl (feat. Lalo Ebratt),Mario Bautista,8007,2018-09-21--2018-09-28,pa,6o8ogTrSX8H0F66Pdz3Tsc
172,Besos En Guerra,Morat,7984,2018-09-21--2018-09-28,pa,5KgdtjmglXPjJNKvMvSjgo
173,Hola,Zion & Lennox,7948,2018-09-21--2018-09-28,pa,2dYJKHEqAUTCk2U9zntaS1
174,Nonstop,Drake,7947,2018-09-21--2018-09-28,pa,0TlLq3lA83rQOYtrqBqSct
175,Tu Pollo,Justin Quiles,7761,2018-09-21--2018-09-28,pa,6XSzJ3PyaVHjyTuFvnCLlE
176,Mi Gente,J Balvin,7724,2018-09-21--2018-09-28,pa,7COfe3P7KgfwDwIRB8LIDw
177,Naturaleza,Anuel AA,7694,2018-09-21--2018-09-28,pa,1icm3g1X4j3tFk4z2PrauY
178,Believer,Imagine Dragons,7610,2018-09-21--2018-09-28,pa,0pqnGHJpmpxLKifKRmU6WP
179,Tú Foto,Ozuna,7604,2018-09-21--2018-09-28,pa,5zSOVwaY3sVjnmLhuEfsuf
180,Medicina,Anitta,7590,2018-09-21--2018-09-28,pa,4R5xvs5X0phd0EYWyGigju
181,Quiero Volver,TINI,7572,2018-09-21--2018-09-28,pa,1jcAZRfufvi67KWnwRmizE
182,Bella y Sensual,Romeo Santos,7566,2018-09-21--2018-09-28,pa,0ERbK7qVqveCaBWIiYCrl3
183,Noches de Aventura,Ozuna,7545,2018-09-21--2018-09-28,pa,4iDaYVSL0zwFLacCt0F7h9
184,IDGAF,Dua Lipa,7532,2018-09-21--2018-09-28,pa,76cy1WJvNGJTj78UqeA5zr
185,Jackie Chan,Tiësto,7502,2018-09-21--2018-09-28,pa,4kWO6O1BUXcZmaxitpVUwp
186,La inenamorable,Dubosky,7464,2018-09-21--2018-09-28,pa,7afbQxpQWe0mHe2ynPx5S6
187,Pine & Ginger,Amindi,7464,2018-09-21--2018-09-28,pa,7iHsUPZjmTqzog933uh5lU
188,Imitadora,Romeo Santos,7460,2018-09-21--2018-09-28,pa,6r46lnXFbE9fr2d3KNaGbe
189,FRIENDS,Marshmello,7433,2018-09-21--2018-09-28,pa,08bNPGLD8AhKpnnERrAc6G
190,Balenciaga,Ozuna,7385,2018-09-21--2018-09-28,pa,3iIZvct75tkk1CwbqVjsry
191,Que Va,Alex Sensation,7382,2018-09-21--2018-09-28,pa,6J1R5wtPXiHiwiPstOSI56
192,Caliente (feat. J Balvin),De La Ghetto,7371,2018-09-21--2018-09-28,pa,1d1mZ7F4VI0hkkie2jE4yq
193,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,7355,2018-09-21--2018-09-28,pa,2FrnTVSHjgnEylKGdHRUK1
194,Puesto pal' Millón - Remix,Dalex,7341,2018-09-21--2018-09-28,pa,1csGDtYYiqJmQi2E8ZYl6O
195,Tu Papi,Akim,7332,2018-09-21--2018-09-28,pa,2zr0FXDA5jFisqBjMr9QdB
196,Con Bochinche,Sech,7331,2018-09-21--2018-09-28,pa,15FbNoazXVz3yJNfp9LF0S
197,Bandolera,Anuel AA,7270,2018-09-21--2018-09-28,pa,3WapscF576b4Gw6tED2kWL
198,Monotonia,Ozuna,7260,2018-09-21--2018-09-28,pa,3B16FHKVkW9A7axdeJRDIa
199,Tu Olor,Ozuna,7206,2018-09-21--2018-09-28,pa,48aHJHJyNBcuYIFGMrT5cQ
200,Calypso - Remix,Luis Fonsi,7202,2018-09-21--2018-09-28,pa,3B1q4Cv9PcYdiOpzqKSEIV
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,123001,2018-09-28--2018-10-05,pa,4w8niZpiMy6qz1mntFA5uM
2,BEBE,6ix9ine,94710,2018-09-28--2018-10-05,pa,7ATATJztoWLcqDAcVVof0C
3,Mocca,Lalo Ebratt,94166,2018-09-28--2018-10-05,pa,0NKoPGc72yUKTIneVhFfg1
4,Vaina Loca,Ozuna,86449,2018-09-28--2018-10-05,pa,48zFZh27QU5qsrBjn4C2FA
5,Culpables,KAROL G,84353,2018-09-28--2018-10-05,pa,6q8Lb50EtqNeeJXXe8mMAH
6,Quiere Beber,Anuel AA,82338,2018-09-28--2018-10-05,pa,3rPAD722s5FFNnwjC91t7Z
7,Ibiza,Ozuna,73921,2018-09-28--2018-10-05,pa,1h9P5WJwyvK8OB7O2YiXgp
8,Toda - Remix,Alex Rose,65588,2018-09-28--2018-10-05,pa,7nD2JPaxIKUdxd2UWgnaGL
9,La Discusión,Sech,59067,2018-09-28--2018-10-05,pa,2rJN09w9NKdmoLzlCeoMl4
10,No Es Justo,J Balvin,55960,2018-09-28--2018-10-05,pa,5qFeMRz4TvetPmzjre9Dq7
11,Hipócrita,Anuel AA,55830,2018-09-28--2018-10-05,pa,6XBjCetHKdO5L9cwMDVffw
12,Te Boté - Remix,Nio Garcia,53185,2018-09-28--2018-10-05,pa,3V8UKqhEK5zBkBb6d6ub8i
13,Ni Gucci Ni Prada,Kenny Man,51557,2018-09-28--2018-10-05,pa,32lexhcz93AinKK0qLTZaZ
14,Te Gusta Hacerla,Eddy Lover,48425,2018-09-28--2018-10-05,pa,2o2gdSF4k51YO18WEWY40v
15,Culpables,Manuel Turizo,44924,2018-09-28--2018-10-05,pa,3RD0PGolM0mETGHaprwgMn
16,Asesina,Brytiago,44162,2018-09-28--2018-10-05,pa,6rbhaJsE4uLzpPf8WYSHDK
17,Cuando Te Besé,Becky G,40840,2018-09-28--2018-10-05,pa,2XXMDz7SPZ4mSFN1PXfHUy
18,Unica,Ozuna,40681,2018-09-28--2018-10-05,pa,33b2wX9d0kxqxhi7lcsC1A
19,Está Rico,Marc Anthony,40645,2018-09-28--2018-10-05,pa,2wRkBumdItthjYP9XknImg
20,La player (Bandolera),Zion & Lennox,39822,2018-09-28--2018-10-05,pa,0VKkyBKCXyR99navhVRqcP
21,Amigos Con Derechos,Reik,38762,2018-09-28--2018-10-05,pa,2zDj4WjbNDmrRL6Z4YjjCA
22,Estamos Bien,Bad Bunny,38303,2018-09-28--2018-10-05,pa,7glCSQqV5o6NU88Cn4zPZn
23,Mala Mía,Maluma,37964,2018-09-28--2018-10-05,pa,62o8KoI44JfN7aYxgTnPvh
24,Tic It and Tac,Bobo,37551,2018-09-28--2018-10-05,pa,1OrwUILQVn4jBxZHe5T9L2
25,Sin Pijama,Becky G,37182,2018-09-28--2018-10-05,pa,2ijef6ni2amuunRoKTlgww
26,Meneo sucio,Dubosky,34934,2018-09-28--2018-10-05,pa,4g2jrgGWo6KFZvxmYrIvsI
27,Madura (feat. Bad Bunny),Cosculluela,34315,2018-09-28--2018-10-05,pa,0r9d60ZYPAlFHq8qnUtkXN
28,Ya No Tiene Novio,Sebastian Yatra,33306,2018-09-28--2018-10-05,pa,7uQmJ1jgNzBpATSoWKSPFu
29,Brindemos,Anuel AA,32960,2018-09-28--2018-10-05,pa,7LeQ55Z5jPBB0ggYJtAiYO
30,Ratas y Ratones,Boza,32263,2018-09-28--2018-10-05,pa,2Ch60RcV8uYCxFWUC7D1SE
31,Desenfreno,Boza,31922,2018-09-28--2018-10-05,pa,373CLPJGyPpYLWBFr7125j
32,Devuelveme,Ozuna,31867,2018-09-28--2018-10-05,pa,5uvucCRBTkxv7VxIDLOqe7
33,Me Dijeron,Ozuna,31639,2018-09-28--2018-10-05,pa,17UUYZ290omPaJY4wKeyHh
34,I Like It,Cardi B,30441,2018-09-28--2018-10-05,pa,58q2HKrzhC3ozto2nDdN4z
